,1. open,2. high,3. low,4. close,5. volume,MA_3,MA_7,STD_3,STD_7,%_change
2025-08-22,739.23,756.9,734.39,754.79,10612667.0,747.2033333333334,761.1171428571428,7.857749889971826,17.603094154422585,0.021228521174401216
2025-08-25,754.82,758.88,750.13,753.3,6861158.0,749.0633333333334,756.9985714285714,8.660602365502735,15.055689321725808,-0.001974059009790863
2025-08-26,750.8,754.87,747.94,754.1,7601800.0,754.0633333333334,752.5514285714287,0.7456764267100395,8.49501114099724,0.001061993893535229
2025-08-27,752.3,754.1499,742.84,747.38,8315435.0,751.5933333333334,749.6957142857143,3.6707129189506693,5.523573291332234,-0.008911284975467448
2025-08-28,744.0,753.0548,740.795,751.11,7467955.0,750.8633333333333,749.6428571428571,3.3667838263469614,5.505393459400892,0.00499076774866869
2025-08-29,745.28,747.14,735.3466,738.7,9070546.0,745.73,748.3542857142857,6.367409206264178,6.907507647822062,-0.01652221379025709
2025-09-02,726.04,736.0,721.7306,735.11,9350857.0,741.64,747.7842857142858,8.395397548658286,7.892791768741958,-0.004859888994178996
2025-09-03,736.0,740.25,733.9893,737.05,7650495.0,736.9533333333334,745.25,1.7969511215807983,8.113400437956246,0.002639060820829542
2025-09-04,748.57,761.16,745.82,748.65,11439078.0,740.27,744.5857142857143,7.321830372250991,7.512569150301246,0.0157384166610135
2025-09-05,752.615,757.95,745.03,752.45,9663441.0,746.0499999999998,744.35,8.022468448053775,7.182949719065955,0.005075803112268851
2025-09-08,755.995,766.51,752.02,752.3,13087816.0,751.1333333333333,745.0528571428571,2.1519371118486816,7.747388192770894,-0.0001993487939399019
2025-09-09,757.49,766.3,753.43,765.7,10999026.0,756.8166666666666,747.1371428571429,7.693557911223633,10.949413552461001,0.017812043067925165
2025-09-10,765.13,765.7,751.0,751.98,12478276.0,756.66,749.0342857142857,7.830504453738485,10.37956141838625,-0.017918244743372114
2025-09-11,754.65,757.1,748.37,750.9,7923284.0,756.1933333333333,751.29,8.250705020381671,8.370475892481911,-0.0014362084097981898
2025-09-12,748.725,757.5703,743.76,755.59,8248557.0,752.8233333333334,753.9385714285715,2.4561012465592693,5.582667906326767,0.006245838327340492
2025-09-15,757.47,774.07,751.985,764.7,10533780.0,757.0633333333334,756.2314285714285,7.016981782315762,6.2986253224276725,0.012056803292791018
2025-09-16,767.0,781.36,765.1,779.0,11782482.0,766.43,760.0242857142857,11.800495752298659,10.339603243743662,0.018700143847260264
2025-09-17,779.99,783.29,766.31,775.715,9400867.0,773.1383333333333,763.3692857142858,7.490120715539475,11.177769018817127,-0.004216944801026967
2025-09-18,780.75,788.78,773.36,780.25,10954950.0,778.3216666666667,765.4478571428572,2.3423616999418417,12.903088731363995,0.005846219294457278
2025-09-19,786.42,790.8,769.1901,778.38,23696824.0,778.1150000000001,769.2192857142858,2.279084245924458,12.146533260071225,-0.002396667734700375
2025-09-22,781.845,785.73,764.47,765.16,11706946.0,774.5966666666667,771.2564285714286,8.225705643490643,9.460985992606592,-0.016983992394460357
2025-09-23,769.25,770.6,751.07,755.4,10872592.0,766.3133333333332,771.2292857142857,11.533331406551715,9.513549297607744,-0.01275550211720422
2025-09-24,757.5,761.11,752.5251,760.66,8828227.0,760.4066666666666,770.6521428571428,4.884929204538338,10.081272182093034,0.00696319830553338
2025-09-25,753.45,756.765,744.55,748.91,10591065.0,754.9900000000001,766.3535714285715,5.8857200069335995,12.134539791533474,-0.015447111718770556
2025-09-26,750.0,751.9299,737.3532,743.75,9696338.0,751.1066666666666,761.7871428571428,8.666373712998546,13.909238793315083,-0.006890013486266611
2025-09-29,748.72,750.78,739.15,743.4,9246768.0,745.3533333333334,756.5228571428571,3.0851310074862326,12.675583766023257,-0.00047058823529411153
2025-09-30,742.25,742.97,726.3,734.38,16226750.0,740.5099999999999,750.2371428571429,5.311619338772319,10.801408417863156,-0.012133440947000196
2025-10-01,721.49,721.8499,710.2,717.34,20419633.0,731.7066666666666,743.4057142857143,13.23408226260337,14.334538542906383,-0.023203246275769973
2025-10-02,722.58,727.77,718.14,727.05,11415271.0,726.2566666666667,739.3557142857143,8.547656598937184,14.385774057661134,0.013536119552792103
2025-10-03,729.625,731.0,710.18,710.56,16154305.0,718.3166666666666,732.1985714285714,8.288270828909805,14.482464602144763,-0.02268069596313871
2025-10-06,705.185,716.88,690.51,715.66,21654738.0,717.7566666666665,727.4485714285713,8.442572672672553,13.507810615308912,0.007177437514073404
2025-10-07,717.72,718.4999,705.75,713.08,12062928.0,713.1,723.0671428571428,2.5500588228557723,12.254975471600758,-0.0036050638571387683
2025-10-08,713.45,719.65,707.81,717.84,10790571.0,715.5266666666666,719.4157142857142,2.3827994740131477,8.383256839565048,0.006675267852134459
2025-10-09,718.275,733.51,712.44,733.51,12717172.0,721.4766666666668,719.2914285714286,10.689491724743283,8.126960129864065,0.021829377019948693
2025-10-10,730.92,735.27,704.51,705.3,16980091.0,718.8833333333333,717.5714285714286,14.133910758645571,9.725636960412228,-0.0384589167155186
2025-10-13,713.01,719.94,707.6413,715.7,9251796.0,718.1700000000001,715.95,14.266278421509375,8.782404758000975,0.014745498369488352
2025-10-14,707.78,715.55,699.33,708.65,8829757.0,709.8833333333333,715.6771428571428,5.308562266128339,9.00463346336479,-0.00985049601788468
2025-10-15,717.06,723.9,709.51,717.55,10246766.0,713.9666666666667,715.9471428571429,4.696363841671522,9.032326600026625,0.012559091229803032
2025-10-16,717.55,725.49,703.88,712.07,9017010.0,712.7566666666667,715.8028571428571,4.489558255926741,9.093619950797851,-0.007637098460037461
2025-10-17,707.075,718.54,706.12,716.915,12232441.0,715.5116666666667,715.6707142857142,2.99743362451262,9.065761793957911,0.006804106337859883
2025-10-20,721.19,733.77,720.18,732.17,8900204.0,720.3850000000001,715.4792857142857,10.489669918544788,8.629967375650212,0.021278673203936282
2025-10-21,736.015,738.5,728.75,733.27,7647269.0,727.4516666666667,719.4750000000001,9.14158128188747,9.55675633605283,0.0015023833262766129
2025-10-22,733.83,740.6,724.03,733.41,8734491.0,732.9499999999999,722.005,0.6791170738694686,10.67018314432087,0.00019092557993638515
2025-10-23,734.7,742.41,733.1,734.0,9855974.0,733.56,725.6264285714286,0.38742741258312446,9.633601227944757,0.0008044613517677046
2025-10-24,736.79,741.21,731.15,738.36,9151267.0,735.2566666666667,728.5992857142857,2.703707331305241,9.932166777937713,0.005940054495912728
