,1. open,2. high,3. low,4. close,5. volume,MA_3,MA_7,STD_3,STD_7,%_change
2025-07-10,210.505,213.48,210.03,212.41,44443635.0,211.18666666666664,211.0457142857143,1.20068036268461,1.9478266276626304,0.006014966373022679
2025-07-11,210.565,212.13,209.86,211.16,39765812.0,211.57000000000002,211.52285714285713,0.7275300681093535,1.3402949213488877,-0.005884845346264322
2025-07-14,209.925,210.91,207.54,208.62,38840111.0,210.73000000000002,210.97714285714287,1.9312431229658624,1.647176516404189,-0.012028793332070409
2025-07-15,209.22,211.89,208.92,209.11,42296339.0,209.63,210.34285714285713,1.347479127854172,1.312093928113847,0.0023487680951010947
2025-07-16,210.295,212.4,208.64,210.16,47490532.0,209.2966666666667,210.37285714285716,0.7867867140057038,1.3039902132275505,0.005021280665678196
2025-07-17,210.57,211.8,209.59,210.02,48068141.0,209.76333333333335,210.37428571428572,0.5701169470696692,1.3035318324068628,-0.0006661591168632963
2025-07-18,210.87,211.79,209.7045,211.18,48974591.0,210.45333333333335,210.38000000000002,0.6331929669036566,1.3075294770429051,0.00552328349680975
2025-07-21,212.1,215.78,211.63,212.48,51377434.0,211.2266666666667,210.39000000000001,1.2306637775348963,1.3257827876400978,0.006155885974050479
2025-07-22,213.14,214.95,212.2301,214.4,46404072.0,212.6866666666667,210.85285714285715,1.6199176933834847,2.0221169953442253,0.009036144578313365
2025-07-23,215.0,215.15,212.41,214.15,46989301.0,213.67666666666665,211.64285714285714,1.043855034637053,2.083688350704123,-0.0011660447761193682
2025-07-24,213.9,215.69,213.53,213.76,46022620.0,214.10333333333332,212.30714285714288,0.3225419869369079,1.8720996615725785,-0.0018211533971516092
2025-07-25,214.7,215.24,213.4,213.88,40268781.0,213.92999999999998,212.8385714285714,0.1997498435639894,1.6790516030537512,0.0005613772455090871
2025-07-28,214.03,214.845,213.06,214.05,37858017.0,213.89666666666668,213.41428571428574,0.14571661997577365,1.1632118916023264,0.000794838227043293
2025-07-29,214.175,214.81,210.82,211.27,51411723.0,213.0666666666667,213.42714285714285,1.5582789651846598,1.134544171107336,-0.012987619715019827
2025-07-30,211.895,212.39,207.72,209.05,45512514.0,211.45666666666668,212.93714285714287,2.505221214451267,2.012657565556943,-0.010507880910682998
2025-07-31,208.49,209.84,207.16,207.57,80698431.0,209.29666666666665,211.96142857142857,1.8622924940342447,2.717440146973632,-0.0070796460176991705
2025-08-01,210.865,213.58,201.5,202.38,104434473.0,206.33333333333334,210.28,3.502746541406561,4.311426678027023,-0.02500361323890732
2025-08-04,204.505,207.88,201.675,203.35,75109298.0,204.4333333333333,208.79285714285714,2.7593900292157225,4.689771544847391,0.004792963731593991
2025-08-05,203.4,205.34,202.16,202.92,44155079.0,202.88333333333333,207.22714285714287,0.4860384072630675,4.5353232677351984,-0.002114580772067942
2025-08-06,205.63,215.38,205.59,213.25,108483103.0,206.50666666666666,207.11285714285714,5.843854321707164,4.340640176616839,0.050906761285235635
2025-08-07,218.875,220.85,216.58,220.03,90224834.0,212.0666666666667,208.3642857142857,8.616161171504189,6.476305163550572,0.03179366940211015
2025-08-08,220.83,231.0,219.25,229.35,113853967.0,220.87666666666667,211.2642857142857,8.083324398620759,10.269008159088786,0.04235786029177846
2025-08-11,227.92,229.56,224.76,227.18,61806132.0,225.52,214.06571428571428,4.876709956518342,11.672198960411544,-0.009461521691737418
2025-08-12,228.005,230.8,227.07,229.65,55672301.0,228.7266666666667,217.96142857142857,1.34782540907156,11.67275521398947,0.01087243595386922
2025-08-13,231.07,235.0,230.43,233.33,69878546.0,230.0533333333333,222.24428571428572,3.094775166847998,10.892033567617185,0.016024384933594593
2025-08-14,234.055,235.12,230.85,232.78,51916275.0,231.92,226.51,1.9850188915992477,7.325951587791928,-0.0023571765310933523
2025-08-15,234.0,234.28,229.335,231.59,56038657.0,232.5666666666667,229.12999999999997,0.8894005471885711,4.545059588902119,-0.005112123034624938
2025-08-18,231.7,233.12,230.11,230.89,37476188.0,231.75333333333333,230.68142857142857,0.9555277773771149,2.1363709772381347,-0.0030225830130835574
2025-08-19,231.275,232.87,229.35,230.56,39402564.0,231.01333333333332,230.8542857142857,0.5259594407738807,2.0582100406501396,-0.0014292520247736196
2025-08-20,229.98,230.47,225.77,226.01,42263865.0,229.1533333333333,230.68714285714285,2.7272024738436538,2.4217260668501828,-0.019734559333795976
2025-08-21,226.27,226.52,223.7804,224.9,30621249.0,227.15666666666667,230.00857142857143,2.9991721079889055,3.275685315429244,-0.0049112871111897105
2025-08-22,226.17,229.09,225.41,227.76,42477811.0,226.22333333333336,229.21285714285713,1.4418853398722253,2.999242761575264,0.012716763005780285
