,1. open,2. high,3. low,4. close,5. volume,MA_3,MA_7,STD_3,STD_7,%_change
2025-06-12,176.18,176.72,174.745,175.7,20941873.0,177.21666666666667,173.95428571428573,1.4545904349106682,4.255486095002774,-0.009303636876233479
2025-06-13,172.44,177.13,172.385,174.67,27663107.0,175.90666666666664,174.9,1.3518998976749887,3.3676401232911,-0.005862265224815033
2025-06-16,174.73,176.94,174.65,176.77,27389208.0,175.71333333333334,176.12285714285716,1.0500634901441268,1.6491989397453641,0.012022671323066447
2025-06-17,175.7,177.3648,174.58,175.95,24973043.0,175.79666666666665,176.44714285714284,1.0583635166301126,1.2678947680534174,-0.004638796175821858
2025-06-18,176.01,176.56,173.2,173.32,28707524.0,175.34666666666666,176.0514285714286,1.8023965527412795,1.7416795397109497,-0.014947428246660954
2025-06-20,173.945,174.34,165.46,166.64,75659917.0,171.97,174.34285714285713,4.799572897664994,3.647966165256662,-0.03854142626355883
2025-06-23,166.27,167.34,162.0,165.19,57670985.0,168.38333333333333,172.6057142857143,4.33631564041801,4.716180860056392,-0.008701392222755566
2025-06-24,166.92,168.22,166.13,166.77,40524312.0,166.20000000000002,171.32999999999998,0.8770974860303092,4.942047483921392,0.009564743628549088
2025-06-25,167.63,172.36,167.55,170.68,35478989.0,167.54666666666665,170.76000000000002,2.8262047578570813,4.717619456180608,0.023445463812436174
2025-06-26,172.43,173.69,169.94,173.54,31796690.0,170.33,170.29857142857142,3.398543805808675,4.156390375359542,0.01675650339817203
2025-06-27,173.54,178.68,171.73,178.53,108140200.0,174.25,170.66714285714284,3.972870498770439,4.804864598458974,0.0287541777111906
2025-06-30,180.78,181.23,174.58,176.23,63378856.0,176.1,171.08285714285714,2.4975387884876805,5.183601432356106,-0.012882988853414101
2025-07-01,175.735,176.09,173.53,175.84,35904526.0,176.86666666666667,172.39714285714288,1.453627646040703,5.033526644033075,-0.002213017079952251
2025-07-02,175.54,178.86,175.07,178.64,29128947.0,176.90333333333334,174.31857142857143,1.5165860784452059,4.3436828788921975,0.015923566878980777
