Price,4. close,2. high,3. low,1. open,5. volume,MA_3,MA_7,MA_14,STD_3,STD_7,STD_14,%_change,Lag_1,Lag_2,Lag_3
2025-05-08,114.44300079345705,116.22899627685548,113.91999816894533,116.16200256347656,37609000.0,114.58433278401692,114.18957083565849,110.75378526960101,0.8944159327073303,1.0453689982965932,4.9294180282919875,-0.009503116376643361,115.54100036621094,113.7689971923828,113.40599822998048
2025-05-09,114.02200317382812,115.0999984741211,113.3219985961914,114.70999908447266,25696000.0,114.66866811116536,114.31100027901786,111.84171404157367,0.7842400278790485,0.9527315852297753,3.582992804838104,-0.0036786663816053,114.44300079345705,115.54100036621094,113.7689971923828
2025-05-12,111.0,113.0,110.29299926757812,112.4260025024414,64791000.0,113.15500132242839,113.97571454729352,112.33928571428571,1.878119478010975,1.5648586588327345,2.817170311619624,-0.026503684286453333,114.02200317382812,114.44300079345705,115.54100036621094
2025-05-13,113.84400177001952,114.78800201416016,110.62999725341795,111.4459991455078,39979000.0,112.95533498128255,113.71785736083984,112.97392872401646,1.6957070182403895,1.3811058695339982,1.8673423035453784,0.025621637567743383,111.0,114.02200317382812,114.44300079345705
2025-05-14,115.0989990234375,115.29000091552734,112.83999633789062,112.95999908447266,39101000.0,113.31433359781902,113.959714617048,113.36050033569336,2.1002046395570355,1.4631901326192767,1.6859247208662143,0.011023832910874276,113.84400177001952,111.0,114.02200317382812
2025-05-15,117.7979965209961,118.77999877929688,114.76499938964844,114.77400207519533,44640000.0,115.58033243815105,114.53528594970703,113.90657152448382,2.020465296603039,2.0503093470018423,1.8012612875940655,0.023449356818550537,115.0989990234375,113.84400177001952,111.0
2025-05-16,119.15299987792967,119.6500015258789,117.93900299072266,119.31400299072266,46984000.0,117.3499984741211,115.05128587995257,114.48621422903878,2.0637968455151827,2.697858392925226,2.089747299104224,0.011502770819129093,117.7979965209961,115.0989990234375,113.84400177001952
2025-05-19,119.16400146484376,119.16400146484376,117.1709976196289,117.35800170898438,28534000.0,118.70499928792317,115.72571454729352,114.95764269147601,0.7855066983408944,3.0830471937705126,2.3508908182199675,9.233159824217907e-05,119.15299987792967,117.7979965209961,115.0989990234375
2025-05-20,119.2020034790039,119.3000030517578,117.9020004272461,118.6790008544922,21331000.0,119.17300160725911,116.46571459089007,115.38835743495396,0.025711673455587274,3.2243819003310246,2.5431022069710947,0.00031890515334320746,119.16400146484376,119.15299987792967,117.7979965209961
2025-05-21,119.46299743652344,121.12200164794922,118.6500015258789,118.6500015258789,29766000.0,119.27633412679036,117.67471422467914,115.82521438598633,0.16276803024590883,2.2824599120699687,2.686712752395912,0.0021895098228403853,119.2020034790039,119.16400146484376,119.15299987792967
2025-05-22,118.7969970703125,119.875,118.72100067138672,119.23999786376952,18616000.0,119.15399932861328,118.38228498186383,116.05007117135185,0.33558519155204747,1.5458711536216234,2.8001665319977818,-0.005574951076920853,119.46299743652344,119.2020034790039,119.16400146484376
2025-05-23,118.53900146484376,119.1449966430664,117.94400024414062,118.4000015258789,21865000.0,118.93299865722656,118.87371390206474,116.41671425955636,0.476775065048648,0.5616022358048383,2.7631336171197103,-0.002171735076064607,118.7969970703125,119.46299743652344,119.2020034790039
2025-05-27,121.15699768066406,121.177001953125,119.30899810791016,119.53299713134766,29205000.0,119.49766540527344,119.35357121058873,116.94442858014789,1.4428021809051763,0.850172345413991,2.9196275263644482,0.02208552614302839,118.53900146484376,118.7969970703125,119.46299743652344
2025-05-28,120.8550033569336,121.59100341796876,120.60199737548828,121.0270004272461,18559000.0,120.1836675008138,119.59671456473214,117.32400022234235,1.4323040600012444,1.0113519744533952,3.0649490282686997,-0.002492586722282808,121.15699768066406,118.53900146484376,118.7969970703125
2025-05-29,118.48600006103516,120.9000015258789,117.62799835205078,120.8000030517578,33007000.0,120.16600036621094,119.49985722133091,117.61278588431222,1.4627374719798567,1.089171976357676,2.961332714434779,-0.019602029126604026,120.8550033569336,121.15699768066406,118.53900146484376
2025-05-30,120.7229995727539,121.18099975585938,118.09300231933594,119.83300018310548,46968000.0,120.02133433024089,119.71714237758091,118.0914284842355,1.3312756057282764,1.168663342643892,2.87663953475581,0.018879863532961005,118.48600006103516,120.8550033569336,121.15699768066406
2025-06-02,121.89800262451172,121.94000244140624,119.625,120.12000274658205,22942000.0,120.36900075276692,120.06500026157924,118.86985724312919,1.7333282282090705,1.4165198000732286,2.206529562787814,0.00973305050335238,120.7229995727539,118.48600006103516,120.8550033569336
2025-06-03,121.79399871826172,122.95700073242188,121.11799621582033,121.98699951171876,23638000.0,121.47166697184245,120.49314335414341,119.43771416800362,0.6504470454786107,1.4223002542930119,1.7989519290440943,-0.0008532043512671228,121.89800262451172,120.7229995727539,118.48600006103516
2025-06-04,123.96600341796876,124.25599670410156,121.98799896240234,122.072998046875,23594000.0,122.55266825358073,121.26842934744698,120.07107162475586,1.2250883308154157,1.6417590149836316,1.7127561152104382,0.017833429582449378,121.79399871826172,121.89800262451172,120.7229995727539
2025-06-05,125.052001953125,126.28099822998048,123.72899627685548,124.05999755859376,28172000.0,123.60400136311848,121.82485852922711,120.58921486990792,1.6588943261646283,2.172093712887772,2.0384782828650256,0.008760454521508088,123.96600341796876,121.79399871826172,121.89800262451172
2025-06-06,124.14700317382812,126.0,123.55500030517578,125.94100189208984,25570000.0,124.38833618164062,122.29514421735492,120.94592939104352,0.5818328111104049,2.2807711737268166,2.198492995113882,-0.00723697953780944,125.052001953125,123.96600341796876,121.79399871826172
2025-06-09,122.4459991455078,123.88800048828124,122.15699768066406,123.88800048828124,24031000.0,123.88166809082031,122.86085837227958,121.18035779680524,1.3231079653726896,1.553729564175999,2.1686468218761976,-0.013701531127083388,124.14700317382812,125.052001953125,123.96600341796876
2025-06-10,120.36199951171876,122.7519989013672,118.06099700927734,122.7519989013672,44544000.0,122.31833394368489,122.80928693498883,121.26321465628487,1.8957286154305182,1.6401062677893554,2.1085738589454497,-0.017019744608499088,122.4459991455078,124.14700317382812,125.052001953125
2025-06-11,121.98799896240234,122.8290023803711,119.60099792480467,120.26000213623048,23823000.0,121.59866587320964,122.8221435546875,121.44357190813336,1.095193503068253,1.632105450461382,2.0499196280325993,0.013509242595502569,120.36199951171876,122.4459991455078,124.14700317382812
2025-06-12,121.50299835205078,123.0,121.1959991455078,122.25900268554688,20846000.0,121.28433227539062,122.78057207380023,121.63685771397182,0.8347632557897706,1.6660119123905268,1.9035262369092052,-0.003975805935639953,121.98799896240234,120.36199951171876,122.4459991455078
2025-06-13,121.21499633789062,122.06199645996094,120.18900299072266,120.65899658203124,22103000.0,121.56866455078125,122.3875710623605,121.82800020490374,0.3906626442555412,1.6642418444818414,1.6910196083208846,-0.002370328453341397,121.50299835205078,121.98799896240234,120.36199951171876
2025-06-16,122.53500366210938,122.625,121.22000122070312,121.22000122070312,21128000.0,121.7509994506836,122.02799987792969,121.92642920357841,0.6940700560386802,1.1997020355518637,1.6890618437572782,0.010889802121011316,121.21499633789062,121.50299835205078,121.98799896240234
2025-06-17,122.06700134277344,123.23600006103516,121.60900115966795,121.99500274658205,18921000.0,121.93900044759114,121.73085675920758,122.01300048828125,0.6692480899284031,0.7669200045037244,1.6607452408538994,-0.0038193357436577813,122.53500366210938,121.21499633789062,121.50299835205078
2025-06-18,122.22899627685548,124.1999969482422,122.0500030517578,122.9990005493164,22810000.0,122.2770004272461,121.69985634940011,122.28035736083984,0.23766539833641143,0.7369967128318432,1.3144515738475053,0.0013270984975468636,122.06700134277344,122.53500366210938,121.21499633789062
2025-06-20,123.14099884033205,124.8499984741211,122.43499755859376,123.44499969482422,53482000.0,122.47899881998698,122.09685625348773,122.45307159423828,0.5790022537685809,0.6380638973317904,1.2514267490202793,0.007461425613042083,122.22899627685548,122.06700134277344,122.53500366210938
2025-06-23,125.35399627685548,125.48400115966795,121.5009994506836,123.8030014038086,26673000.0,123.57466379801434,122.57771301269533,122.6999282836914,1.6070019357923881,1.3796921084274338,1.4574219363551772,0.017971248060062228,123.14099884033205,122.22899627685548,122.06700134277344
2025-06-24,127.91100311279295,128.2570037841797,125.5,126.05500030517578,26633000.0,125.46866607666016,123.49314226422992,123.13685716901507,2.3870687174992264,2.3396651673683415,1.9860071983128076,0.020398287345304134,125.35399627685548,123.14099884033205,122.22899627685548
