,1. open,2. high,3. low,4. close,5. volume,MA_3,MA_7,STD_3,STD_7,%_change
2025-06-12,211.78,213.58,211.33,213.24,27639991.0,214.6833333333333,212.82,2.5346465894347694,4.01017871588454,0.00018761726078819763
2025-06-13,209.96,214.05,209.62,212.1,29337763.0,212.84666666666666,213.51571428571427,0.6469415223442833,3.224163235853391,-0.005346088913899871
2025-06-16,212.31,217.06,211.6,216.1,33284158.0,213.81333333333336,214.68571428571428,2.0607118511167952,2.161927050441009,0.01885902876001877
2025-06-17,215.195,217.41,214.56,214.82,32086262.0,214.34,214.8642857142857,2.0427432535685726,2.105293781105592,-0.005923183711244784
2025-06-18,215.09,217.96,212.34,212.52,44360509.0,214.48000000000002,214.22714285714284,1.8140562284559723,2.0318851204871646,-0.010706638115631661
2025-06-20,214.68,214.89,208.2709,209.69,75350733.0,212.34333333333333,213.0957142857143,2.569558976426348,2.03929609704638,-0.013316393751176436
2025-06-23,209.79,210.39,207.3101,208.47,37311725.0,210.2266666666667,212.42000000000002,2.0776509171016464,2.6814983373728625,-0.0058181124517144855
2025-06-24,212.135,214.34,211.045,212.77,38378757.0,210.31000000000003,212.35285714285715,2.216032490736532,2.6633670061641723,0.020626469036312267
2025-06-25,214.615,216.03,211.11,211.99,31755698.0,211.07666666666668,212.33714285714288,2.2908804712016746,2.665431261451682,-0.0036659303473234317
2025-06-26,213.12,218.035,212.01,217.12,50480814.0,213.96,212.4828571428571,2.7642901439609346,2.9210484093085305,0.0241992546818246
2025-06-27,219.92,223.3,216.74,223.3,119217138.0,217.47000000000003,213.69428571428574,5.663117515997629,5.041008024667477,0.028463522476050107
2025-06-30,223.52,223.82,219.12,219.39,58887780.0,219.93666666666664,214.6757142857143,3.126057154521032,5.428172980364732,-0.01751007613076594
2025-07-01,219.5,221.875,217.93,220.46,39256830.0,221.04999999999998,216.21428571428572,2.020668206311621,5.304409666000685,0.004877159396508679
2025-07-02,219.73,221.6,219.06,219.92,30894178.0,219.92333333333332,217.84999999999997,0.5350077881042002,4.160328512669721,-0.002449423931779049
2025-07-03,221.82,224.01,221.36,223.41,29632353.0,221.26333333333332,219.36999999999998,1.8785721528149606,3.932437751149494,0.015869407057111706
2025-07-07,223.0,224.29,222.37,223.47,36604139.0,222.26666666666665,221.01,2.0324943624353864,2.459769636910204,0.0002685645226265798
2025-07-08,223.915,224.0,218.43,219.36,45691987.0,222.08,221.32999999999998,2.355780125563133,1.9653837623558261,-0.018391730433615194
2025-07-09,221.07,224.29,220.47,222.54,38155121.0,221.79,221.22142857142856,2.155203006679024,1.8563892243760662,0.014496717724288732
2025-07-10,221.55,222.79,219.7,222.26,30370591.0,221.38666666666666,221.6314285714286,1.7607195498805936,1.6943477463946999,-0.0012582007728947353
2025-07-11,223.58,226.6799,222.37,225.02,50518307.0,223.2733333333333,222.28285714285715,1.519122553756414,2.015132041047318,0.012417888958877077
2025-07-14,225.07,226.66,224.24,225.69,35702597.0,224.32333333333335,223.10714285714286,1.81803006942437,2.066960040620519,0.002977513109945651
2025-07-15,226.2,227.27,225.455,226.35,34907294.0,225.6866666666667,223.52714285714288,0.6650062656327477,2.4091334146372723,0.0029243652798085495
2025-07-16,225.875,226.1,222.18,223.19,39535926.0,225.07666666666668,223.48714285714286,1.6668933179213843,2.412562360407538,-0.013960680362270828
2025-07-17,223.32,224.5,222.51,223.88,31855831.0,224.47333333333333,224.13285714285715,1.661455185471784,1.5877207383085365,0.003091536359155933
2025-07-18,225.14,226.4,222.98,226.13,37833807.0,224.39999999999998,224.6457142857143,1.5374329253654448,1.5671296175150746,0.010050026800071388
2025-07-21,225.835,229.69,225.65,229.3,40297556.0,226.4366666666667,225.65142857142857,2.7229824335332493,1.98435067945287,0.014018484942289966
2025-07-22,229.68,230.0,226.35,227.47,37483702.0,227.63333333333335,226.00142857142856,1.5912992595141608,2.0686906371853455,-0.007980811164413515
2025-07-23,228.47,228.79,227.09,228.29,28294852.0,228.35333333333335,226.37285714285716,0.9166424239200789,2.2305359168118635,0.0036048709719962435
2025-07-24,229.17,236.0,228.64,232.23,42902266.0,229.33,227.21285714285713,2.5447200238919003,3.1416063528372753,0.017258749835735276
2025-07-25,232.22,232.48,231.18,231.44,28712095.0,230.65333333333334,228.39142857142855,2.0844743542028294,2.920624525515802,-0.0034017999397149
2025-07-28,233.35,234.29,232.25,232.79,26300138.0,232.15333333333334,229.66428571428574,0.678257571523344,2.5440640528018204,0.005833045281714355
2025-07-29,234.15,234.72,230.31,231.01,33716220.0,231.74666666666667,230.36142857142858,0.9287805625274991,2.031062353969137,-0.00764637656256717
