Price,4. close,2. high,3. low,1. open,5. volume,MA_3,MA_7,MA_14,STD_3,STD_7,STD_14,%_change,Lag_1,Lag_2,Lag_3
2025-05-08,434.841064453125,440.2992788018954,432.3501242134362,434.6028672327044,23491300.0,431.6388854980469,424.8815699986049,401.32902090890065,2.7732393756470923,14.933029759938199,28.065907328949308,0.011122733832481968,430.0576477050781,430.0179443359375,432.8562622070313
2025-05-09,435.3967590332031,437.3914674607305,432.5684058555715,436.6570993033328,15324200.0,433.43182373046875,431.0443856375558,406.9722442626953,2.935301859148959,4.440721737311403,26.217192382136002,0.0012779257193131777,434.841064453125,430.0576477050781,430.0179443359375
2025-05-12,445.8467712402344,445.9559209816134,436.43878433354007,442.551987565255,22821900.0,438.6948649088542,434.42706298828125,412.81607709612166,6.199961471348927,5.455019724797212,24.99967641968395,0.02400112538787713,435.3967590332031,434.841064453125,430.0576477050781
2025-05-13,445.7276916503906,447.2460663261757,441.9763809723924,444.3780084465138,23618800.0,442.32374064127606,436.3920200892857,418.11479622977123,5.999237504559849,6.747811864985162,23.389089809215314,-0.0002670863568496884,445.8467712402344,435.3967590332031,434.841064453125
2025-05-14,449.4988098144531,450.4515077748093,444.73528972695,444.73528972695,19902800.0,447.02442423502606,438.76952689034596,422.7677481515067,2.1437077655176955,8.092345897674143,22.623922721938357,0.008460587562103772,445.7276916503906,445.8467712402344,435.3967590332031
2025-05-15,450.512939453125,453.55526390744575,447.8285212445724,448.1665539237944,21992300.0,448.57981363932294,441.69738333565846,427.17060416085377,2.5215202975240767,8.105836483959395,21.489695412787064,0.002256134202202942,449.4988098144531,445.7276916503906,445.8467712402344
2025-05-16,451.6463623046875,451.735838870633,446.13838030321216,449.4391826540583,23849800.0,450.5527038574219,444.781485421317,431.70332990373885,1.0743283159582344,6.965922383063151,19.205944051711484,0.0025158497177424355,450.512939453125,449.4988098144531,445.7276916503906
2025-05-19,456.2197570800781,456.9355998797858,448.1963586877965,448.27591363294266,21336500.0,452.7930196126302,447.83558436802457,436.3585771833147,3.0212677956819567,6.5558357560515725,16.266884426956434,0.010126052498360183,451.6463623046875,450.512939453125,449.4988098144531
2025-05-20,455.5238342285156,455.6928353955898,451.69606398891386,452.9587181303489,15441800.0,454.46331787109375,450.7108808244978,440.8776332310268,2.464245554154014,4.171078936774811,11.011902894152646,-0.001525411472787952,456.2197570800781,451.6463623046875,450.512939453125
2025-05-21,449.9561462402344,455.1360468945702,449.2005259832327,451.944595050179,19216900.0,453.89991251627606,451.29793439592635,442.86249869210377,3.433081193894181,3.6259489782149825,9.819997392799896,-0.012222605207279247,455.5238342285156,456.2197570800781,451.6463623046875
2025-05-22,452.2329406738281,457.5918252828005,451.2784936511554,452.32244757902833,18025600.0,452.5709737141927,452.22725568498885,444.3096378871373,2.7991940154268686,2.66727707731744,9.581735004822916,0.005060036300466919,449.9561462402344,455.5238342285156,456.2197570800781
2025-05-23,447.5799865722656,451.0697243423277,446.3173323563206,447.3811598733088,16883500.0,449.9230244954427,451.95313807896207,445.36133248465404,2.3266538752680703,3.0635739517538805,9.019448639198714,-0.010288843830415284,452.2329406738281,449.9561462402344,455.5238342285156
2025-05-27,458.02923583984375,458.2877438900054,453.4856231037271,453.8435596609756,20974300.0,452.6140543619792,453.02689470563615,447.3621390206473,5.235039474203878,3.72126839961484,8.44241552759946,0.0233461047881125,447.5799865722656,452.2329406738281,449.9561462402344
2025-05-28,454.718505859375,459.8487079553447,454.2909966033752,458.5562282330538,17086300.0,453.4425760904948,453.4657723563058,449.12362888881137,5.340196639201312,3.712465812444508,7.004382149355732,-0.007228206676366811,458.02923583984375,447.5799865722656,452.2329406738281
2025-05-29,456.0308837890625,459.05333474747385,452.6803520976962,458.884303233251,13974800.0,456.25954182942706,453.4387904575893,450.6371874128069,1.6671672457997055,3.6897308640580406,5.879850158637887,0.002886132657405671,454.718505859375,458.02923583984375,447.5799865722656
2025-05-30,457.7011413574219,459.0135248792732,452.9090026922185,457.0648535034259,34770500.0,456.1501770019531,453.7498343331473,452.2303575788225,1.494891896272037,3.97550149276929,4.220266161784046,0.0036625974856825394,456.0308837890625,454.718505859375,458.02923583984375
2025-06-02,459.3018798828125,459.4410555312044,454.2512329224997,454.49978904014216,16626500.0,457.67796834309894,455.0849391392299,453.1914367675781,1.6356211672581833,4.057570686398862,4.186638383887116,0.0034973444039121393,457.7011413574219,456.0308837890625,454.718505859375
2025-06-03,460.2961120605469,461.4593680607732,458.1982826150306,458.8047753297213,15743800.0,459.09971110026044,456.23682076590404,454.23203822544644,1.309244973259406,4.252800807445765,3.994922091983287,0.0021646595001703073,459.3018798828125,457.7011413574219,456.0308837890625
